"Date" "Time" "Price" "Volume"
"2024-01-31" "09:30:00" 99.57 22745
"2024-01-31" "09:31:00" 100.08 22117
"2024-01-31" "09:32:00" 101.63 20869
"2024-01-31" "09:33:00" 101.59 20602
"2024-01-31" "09:34:00" 102.47 20741
"2024-01-31" "09:35:00" 100.47 20887
"2024-01-31" "09:36:00" 101.07 19821
"2024-01-31" "09:37:00" 100.52 21422
"2024-01-31" "09:38:00" 100.48 22120
"2024-01-31" "09:39:00" 101.62 21723
"2024-01-31" "09:40:00" 101.24 20465
"2024-01-31" "09:41:00" 99.6 20298
"2024-01-31" "09:42:00" 99.92 20864
"2024-01-31" "09:43:00" 98.52 19730
"2024-01-31" "09:44:00" 97.78 20455
"2024-01-31" "09:45:00" 96.61 18529
"2024-01-31" "09:46:00" 96.66 20168
"2024-01-31" "09:47:00" 96.08 23323
"2024-01-31" "09:48:00" 96.16 23712
"2024-01-31" "09:49:00" 94.62 21959
"2024-01-31" "09:50:00" 95.52 20848
"2024-01-31" "09:51:00" 97.14 22241
"2024-01-31" "09:52:00" 97.66 19910
"2024-01-31" "09:53:00" 99.06 21576
"2024-01-31" "09:54:00" 100.27 20455
"2024-01-31" "09:55:00" 99.16 20899
"2024-01-31" "09:56:00" 99.05 19755
"2024-01-31" "09:57:00" 99.95 20893
"2024-01-31" "09:58:00" 99.91 21263
"2024-01-31" "09:59:00" 100.03 23208
"2024-01-31" "10:00:00" 99.6 20418
"2024-01-31" "10:01:00" 98.7 19774
"2024-01-31" "10:02:00" 98.92 20084
"2024-01-31" "10:03:00" 99.05 19721
"2024-01-31" "10:04:00" 99.74 21373
"2024-01-31" "10:05:00" 100.36 21768
"2024-01-31" "10:06:00" 98.85 22123
"2024-01-31" "10:07:00" 97.86 20747
"2024-01-31" "10:08:00" 98.03 19698
"2024-01-31" "10:09:00" 97.62 20163
"2024-01-31" "10:10:00" 97.75 21141
"2024-01-31" "10:11:00" 97.34 21722
"2024-01-31" "10:12:00" 95.3 21265
"2024-01-31" "10:13:00" 96.26 21765
"2024-01-31" "10:14:00" 97.27 20899
"2024-01-31" "10:15:00" 98.76 21992
"2024-01-31" "10:16:00" 98.07 22911
"2024-01-31" "10:17:00" 97.27 20701
"2024-01-31" "10:18:00" 95.84 21088
"2024-01-31" "10:19:00" 96.68 22005
"2024-01-31" "10:20:00" 96.96 22876
"2024-01-31" "10:21:00" 97.68 21346
"2024-01-31" "10:22:00" 96.56 21918
"2024-01-31" "10:23:00" 98.9 20727
"2024-01-31" "10:24:00" 98.23 21766
